课程类别,课程难度,购买渠道,主要学习设备,报名日期,实付金额,课程完成率,是否退款,课程评分
数据分析,入门,搜索平台,Windows,2025-01-23,268.63,0.8596,否,4.9
数据分析,入门,搜索平台,Android,2025-01-09,250.69,0.7857,否,4.3
数据分析,入门,学习社群,macOS,2025-01-18,276.13,0.7032,否,4.5
前端开发,高级,学习社群,macOS,2025-01-08,258.27,0.6519,是,3.8
前端开发,入门,搜索平台,Android,2025-01-07,221.87,0.6096,否,4.4
前端开发,入门,搜索平台,iOS,2025-01-22,247.68,0.7501,是,4.1
前端开发,进阶,搜索平台,macOS,2025-01-17,232.98,0.5774,否,4.3
前端开发,入门,企业合作,iOS,2025-01-28,204.0,0.6805,否,4.3
前端开发,进阶,短视频平台,macOS,2025-01-08,235.62,0.6445,否,4.4
前端开发,入门,官网,Android,2025-01-11,200.3,0.6846,否,4.5
前端开发,入门,学习社群,iOS,2025-01-10,210.41,0.7036,否,4.3
AI 应用,高级,搜索平台,Android,2025-01-19,387.91,0.4686,否,4.2
AI 应用,入门,企业合作,iOS,2025-01-17,311.72,0.4728,否,4.2
AI 应用,高级,官网,Windows,2025-01-28,294.26,0.4167,否,4.0
AI 应用,进阶,官网,iOS,2025-01-30,391.39,0.5632,否,4.2
产品设计,高级,学习社群,Windows,2025-01-16,227.67,0.7883,否,4.5
产品设计,高级,官网,macOS,2025-01-24,190.17,0.6199,否,
数据分析,进阶,搜索平台,iOS,2025-02-10,298.47,0.6685,否,4.4
数据分析,入门,官网,Windows,2025-02-03,261.91,0.731,否,4.5
数据分析,入门,官网,Android,2025-02-15,247.6,0.7093,否,4.5
前端开发,进阶,搜索平台,Windows,2025-02-03,211.92,0.6175,否,4.2
前端开发,入门,官网,Windows,2025-02-25,252.14,0.6535,否,4.3
前端开发,高级,官网,macOS,2025-02-16,248.01,0.6292,否,4.1
前端开发,高级,搜索平台,macOS,2025-02-06,230.31,0.6376,否,4.3
前端开发,入门,学习社群,macOS,2025-02-22,237.61,0.7101,否,4.3
前端开发,进阶,搜索平台,Windows,2025-02-16,197.28,0.5523,否,4.0
前端开发,高级,官网,macOS,2025-02-17,205.73,0.6101,否,4.3
前端开发,进阶,短视频平台,Windows,2025-02-21,231.93,0.7317,否,4.3
商业分析,进阶,搜索平台,iOS,2025-02-05,314.5,0.6164,否,4.4
商业分析,进阶,官网,Windows,2025-02-12,320.76,0.7136,否,4.2
商业分析,入门,官网,macOS,2025-02-14,282.16,0.8192,否,4.4
商业分析,高级,官网,Windows,2025-02-24,241.42,0.5238,否,4.3
商业分析,入门,企业合作,iOS,2025-02-09,308.6,0.6501,否,4.4
商业分析,进阶,搜索平台,macOS,2025-02-28,287.37,0.6014,否,
AI 应用,入门,学习社群,Windows,2025-02-06,394.38,0.6079,否,4.2
AI 应用,入门,短视频平台,macOS,2025-02-13,396.88,0.5319,否,4.1
AI 应用,进阶,官网,iOS,2025-02-28,334.3,0.4772,否,4.2
AI 应用,进阶,官网,macOS,2025-02-10,364.73,0.4084,否,3.8
产品设计,进阶,搜索平台,Windows,2025-02-02,234.64,0.8103,否,4.7
产品设计,进阶,搜索平台,macOS,2025-02-19,174.79,0.6742,否,4.4
数据分析,入门,搜索平台,Windows,2025-03-21,295.32,0.8501,否,4.6
数据分析,高级,官网,macOS,2025-03-31,285.08,0.6658,否,4.3
数据分析,入门,学习社群,iOS,2025-03-06,251.31,0.8464,否,4.8
前端开发,进阶,学习社群,Android,2025-03-03,231.43,0.6264,否,4.3
前端开发,进阶,搜索平台,Android,2025-03-21,243.11,0.623,否,4.2
