客户编号,线索日期,项目,城市,区域,置业顾问,获客渠道,客户等级,到访日期,认购日期,签约日期,户型,成交金额,回款金额
C0389,2025-01-01,云栖澜庭,杭州,余杭,顾问02,短视频平台,C,2025-01-02,2025-01-16,2025-01-27,三房,1926000,1926000
C0031,2025-01-06,云栖澜庭,杭州,余杭,顾问01,渠道中介,B,2025-01-08,2025-01-12,2025-01-26,两房,1826000,747000
C0171,2025-01-06,云栖澜庭,杭州,余杭,顾问02,搜索广告,B,,,,三房,,
C0270,2025-01-08,钱塘云筑,杭州,钱塘,顾问08,老带新,B,,,,四房,,
C0092,2025-01-11,滨江悦府,杭州,滨江,顾问06,搜索广告,C,2025-01-13,,,三房,,
C0163,2025-01-11,钱塘云筑,杭州,钱塘,顾问08,自然到访,C,2025-01-17,2025-01-21,2025-02-05,三房,1864000,
C0013,2025-01-13,湘湖映月,杭州,萧山,顾问11,短视频平台,B,,,,四房,,
C0140,2025-01-15,湘湖映月,杭州,萧山,顾问10,短视频平台,C,2025-01-15,2025-01-18,,三房,,
C0435,2025-01-15,钱塘云筑,杭州,钱塘,顾问08,短视频平台,A,,,,三房,,
C0043,2025-01-16,云栖澜庭,杭州,余杭,顾问03,房产平台,C,2025-01-22,,,三房,,
C0253,2025-01-16,云栖澜庭,杭州,余杭,顾问03,搜索广告,B,,,,三房,,
C0212,2025-01-18,钱塘云筑,杭州,钱塘,顾问08,短视频平台,B,,,,三房,,
C0260,2025-01-18,云栖澜庭,杭州,余杭,顾问01,房产平台,A,2025-01-20,2025-01-31,2025-02-12,四房,1817000,637000
C0506,2025-01-19,钱塘云筑,杭州,钱塘,顾问07,短视频平台,A,,,,三房,,
C0411,2025-01-24,钱塘云筑,杭州,钱塘,顾问08,自然到访,B,2025-01-27,,,两房,,
C0204,2025-01-25,钱塘云筑,杭州,钱塘,顾问08,渠道中介,A,2025-02-01,2025-02-10,,三房,,
C0487,2025-01-25,滨江悦府,杭州,滨江,顾问06,短视频平台,A,2025-02-01,,,四房,,
